,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
111,Category:Military helicopters|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:Military helicopters|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:Military helicopters|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:Military helicopters|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:Military helicopters|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:1940s Soviet military transport aircraft|Category:Abandoned military aircraft projects of the Soviet Union|Category:1940s Soviet military transport aircraft,November 1948,,Error,0,2,19836203,,Project cancelled,Yakovlev Yak-100,,15.353424657534246,2,2.0,1948.0
113,Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:Military helicopters|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft|Category:1950s Soviet military transport aircraft,3 July 1952,1955,Error,0,40â100,1491668,,Retired,Yakovlev Yak-24,,70.41643835616438,3,40.0,1952.0
115,Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft,5 October 1948,[[1950 in aviation,Error,0,133,4477054,,Retired,Westland WS-51 Dragonfly,,33.9972602739726,4,133.0,1948.0
116,Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British anti-submarine aircraft|Category:Military helicopters|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British military utility aircraft|Category:1950s British military utility aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British military utility aircraft|Category:1950s British anti-submarine aircraft|Category:1950s British military utility aircraft|Category:1950s British anti-submarine aircraft,August [[1953 in aviation,[[1954 in aviation,Error,0,360+,358380,,,Westland Whirlwind (helicopter),,102.66849315068494,5,360.0,1953.0
117,Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft,20 June 1958,[[1961 in aviation,Error,0,382,358645,[[2003 in aviation,Error,Westland Wessex,,194.92328767123288,5,382.0,1958.0
118,Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft,28 October [[1962 in aviation,[[1963 in aviation,Error,0,133,439676,[[2000 in aviation,,Westland Wasp,,84.03561643835616,4,133.0,1962.0
119,Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:Military helicopters|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft|Category:Military helicopters|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft|Category:1960s British anti-submarine aircraft,Sea King 7 May 1969,,Error,0,344,441274,,Active service,Westland Sea King,,460.61095890410957,5,344.0,1969.0
120,Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:Military helicopters|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft|Category:1960s British military utility aircraft,29 August 1960,,Error,0,About 150,3616768,,Retired from active service,Westland Scout,,62.843835616438355,4,150.0,1960.0
121,Category:Military helicopters|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:Military helicopters|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:Military helicopters|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:Military helicopters|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:1970s British attack aircraft|Category:1970s British attack aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British anti-submarine aircraft|Category:Military helicopters|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:1970s British attack aircraft|Category:1970s British attack aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British military utility aircraft|Category:1970s British military utility aircraft|Category:1970s British attack aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British attack aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British military utility aircraft|Category:1970s British anti-submarine aircraft|Category:1970s British attack aircraft|Category:1970s British military utility aircraft|Category:1970s British attack aircraft|Category:1970s British anti-submarine aircraft,21 March 1971,1978,Error,0,450 (as of 2009),508105,"2017 (Royal Navy), 2018 (British Army)",In service,Westland Lynx,,510.05753424657536,5,450.0,1971.0
122,Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:Military helicopters|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft|Category:1960s Soviet military transport aircraft,(27 June 1967 â unsuccessful hop),,Error,0,2,1493412,,"Prototypes tested, cancelled",Mil V-12,,222.0958904109589,2,2.0,1967.0
